ID,name,population,latitude,longitude
136,Węgorzewo Koszalińskie,299,54.1959414,16.3563616
137,Warszkowo,1107,54.3651347,16.7119252
138,Warcino,450,54.2225362,16.8574140
139,Warblewo,267,54.4280670,17.1782597
140,Warblewo,70,54.1305000,16.7285600
141,Wałdowo,249,54.0595754,17.1593632
142,Ustronie Morskie,1800,54.2135984,15.7560763
143,Ustka,16263,54.5811254,16.8612962
144,Upadły,200,53.8585400,15.0152600
145,Unieradz,79,54.0521438,15.5784575
146,Ubiedrze,100,54.0185300,16.5291400
147,Tymień,1000,54.2046983,15.8516594
148,Tyczewo,81,53.9795540,16.3129607
149,Tychowo,2512,53.9286600,16.2566800
150,Tychówko,310,53.8920982,16.0684258
151,Tursko,199,54.1204500,16.9458100
152,Turowo,124,54.0911400,17.1828300
153,Trzyniec,33,53.9664800,17.1616300
154,Trzygłów,670,53.8607300,15.1668800
155,Trzeszyn,138,53.9988429,15.1500825
156,Trzęsacz,89,54.0757405,14.9927621
157,Trzebusz,693,54.0916860,15.2639243
158,Trzebielino,744,54.2000200,17.0872600
159,Trzebiechowo,220,53.8369961,16.5594052
160,Trzebiatów,10202,54.0627026,15.2657157
161,Trzcinno,327,54.0917000,17.0671300
162,Tąpadły,164,53.9287701,15.3296600
163,Szczecinek,40620,53.7080210,16.6943922
164,Sycewice,1089,54.4228128,16.8628611
165,Świniec,110,53.9868842,14.8764689
166,Świeszyno,497,54.1219500,16.1710800
167,Świeszyno,152,53.9832500,17.0699700
168,Świeszynko,71,54.0017100,17.0765700
169,Świerzno,222,54.0715790,16.8455487
170,Świerzno,670,53.9653600,14.9674600
171,Świerzenko,499,54.0854300,16.8540600
172,Świerczyna,280,54.1572600,16.6194100
173,Świelino,320,54.0029000,16.3747600
174,Świecichowo,260,54.5387100,17.2592200
175,Sulimice,130,54.4636899,16.5244223
176,Sulechówko,160,54.2722889,16.5498783
177,Suchorze,664,54.2754800,17.0991575
178,Strzykocin,175,53.9752600,15.3959400
179,Strzelinko,180,54.5186162,16.9599350
180,Strzekęcino,632,54.1010900,16.1580400
181,Stramnica,210,54.1540478,15.6381004
182,Storkowo,150,53.7961281,16.4748118
183,Stołąż,139,53.9337700,15.3544700
184,Stojcino,123,54.6285882,17.1901322
185,Stepień,340,53.8215500,16.7666400
186,Starzno,111,53.9708325,17.0729694
187,Starza,179,53.9489000,15.0394800
188,Stary Jarosław,481,54.3997500,16.5527500
189,Stary Borek,250,54.1324442,15.4820644
190,Starnin,260,53.9682917,15.4578982
191,Starkowo,203,54.5103000,16.8081800
192,Starkowo,334,54.2475358,17.1237000
193,Stare Wierzchowo,140,53.8449024,16.6797571
194,Stare Resko,100,53.6795300,15.9762200
195,Stare Ludzicko,260,53.8144300,16.0315400
196,Stare Dębno,195,53.8648427,16.1723084
197,Stare Borne,220,54.0028840,16.6741405
198,Stare Bielice,1344,54.1790300,16.1137200
199,Stanomino,701,53.9573669,15.9013472
200,Staniewice,446,54.4351735,16.7382427
201,Stanięcino,140,54.4444033,17.1140129
202,Spore,319,53.8014600,16.6884000
203,Sowinko,100,54.1717400,16.5078200
204,Smorawina,100,53.6718864,15.5326441
205,Smołdziński Las,244,54.6918424,17.2338633
206,Smołdzino,984,54.6627685,17.2160201
207,Smołdzęcino,59,53.6875621,16.0878819
208,Smęcino,143,53.9467035,16.4124803
209,Smardzewo,378,54.3131000,16.6173400
210,Słupsk,93936,54.4649331,17.0280730
211,Słowino,410,54.3587600,16.5151600
212,Słowieńsko,320,53.8658075,15.6401817
213,Słosinko,674,53.9424043,16.9845619
214,Słonino,229,54.0026600,16.1715500
215,Śliwin,224,54.0750500,15.0347500
216,Sławsko,860,54.3938764,16.7059846
217,Sławoborze,2009,53.8904311,15.7083602
218,Sławno,12898,54.3629824,16.6789071
219,Skrzydłowo,140,53.9233400,15.4699500
220,Skrobotowo,205,54.0505110,15.0714360
221,Skarszów Górny,271,54.3788100,17.1224100
222,Skarszów Dolny,55,54.3660200,17.1171700
223,Skalin,64,53.9572100,15.2540400
224,Sińczyca,143,54.4059300,16.4926300
225,Sińce,121,53.9425352,15.9034819
226,Sierakowo Sławieńskie,510,54.2250300,16.5234200
227,Siemyśl,510,54.0284444,15.5342379
228,Siemidarżno,109,54.0329900,15.3606000
229,Siemianice,1141,54.5020348,17.0607701
230,Sępolno Małe,70,53.9309960,16.7489670
231,Sarbinowo,500,54.2474286,15.9562093
232,Sadkowo,284,53.8949966,16.2040380
233,Sąborze,186,54.4664800,17.1825300
234,Rzyszczewo,87,53.9265974,16.0502867
235,Rzesznikowo,220,53.9282854,15.4882115
236,Rzęskowo,238,53.9256991,15.1572595
237,Rzęsin,206,53.8896400,15.1231800
238,Rzeczyca Wielka,300,54.1173164,16.7418850
239,Rzeczenica,1566,53.7569973,17.1075188
240,Rzecino,350,53.8444700,16.0010700
241,Rychówko,69,53.9324232,15.8774103
242,Rybokarty,158,53.9118600,15.0831200
243,Rusko,221,54.3981200,16.4119900
244,Rusinowo,282,54.5110002,16.5099137
245,Równe,170,53.8438898,16.4635113
246,Rotnowo,173,53.9010300,15.2857300
247,Rosocha,100,54.1024979,16.6103288
248,Rosnowo,2300,54.0684035,16.2956140
249,Rościno,199,53.9986012,15.8954700
250,Rościęcino,314,54.1262804,15.5922508
251,Role,108,54.1136300,17.1463100
252,Rokita,270,53.7643942,14.8418366
253,Rogowo,335,53.9696777,16.0159363
254,Rogawica,262,54.5171118,17.1618846
255,Rochowo,17,54.1448613,16.7716857
256,Robuń,400,54.0098399,15.7233345
257,Rekowo,100,54.1140085,16.5040925
258,Redzikowo,405,54.4710926,17.1160575
259,Redwanki,54,54.5758558,16.9984491
260,Redło,1100,53.7743800,15.9692700
261,Redlino,288,54.0289139,15.8992451
